#<KE_x>	var(KE_x)	<KE_y>	var(KE_y)	<KE_z>	var(KE_z)	<pos_x>	var(pos_x)	<pos_y>	var(pos_y)	<pos_z>	var(pos_z)
1.51016	0.106873	2.52681	0.150743	0.0115501	7.73317e-06	1.61247	5.10413	-2.25051	7.86431	0.423368	1.33629
2.44708	0.15622	1.57694	0.116806	0.010178	6.77333e-06	1.2327	10.9859	0.616574	7.66228	0.0155965	1.74134
2.17328	0.143692	1.86255	0.128297	0.0103469	6.76169e-06	-1.61611	8.48847	0.682151	9.05559	0.139591	1.46549
1.4585	0.11391	2.55166	0.162642	0.0105338	6.94168e-06	0.236368	7.37932	1.20792	11.5944	0.397193	1.57635
2.38829	0.141816	1.65433	0.10773	0.00901565	4.88161e-06	-0.334223	12.0966	-0.25049	8.37805	0.256893	1.52539
1.47957	0.111755	2.53232	0.156768	0.0116194	9.00595e-06	-0.960372	6.62442	0.237606	12.8975	-0.221336	1.71814
2.49883	0.145019	1.50971	0.102752	0.0139646	1.29206e-05	-2.4926	6.56689	-1.06718	6.56505	-0.148194	1.90361
2.35528	0.149532	1.67104	0.117782	0.0112207	8.26363e-06	1.99647	8.04874	1.49869	6.27126	-0.476257	1.54834
2.35454	0.145913	1.6632	0.117081	0.0122661	9.9416e-06	-0.702195	11.5426	0.356539	8.36321	-0.154874	1.9259
1.68031	0.118283	2.3797	0.152053	0.00898826	5.94027e-06	0.524866	8.28819	-0.757869	11.5867	-0.362156	1.30625
