#<KE_x>	var(KE_x)	<KE_y>	var(KE_y)	<KE_z>	var(KE_z)	<pos_x>	var(pos_x)	<pos_y>	var(pos_y)	<pos_z>	var(pos_z)
0.540059	0.0302053	0.555744	0.0306238	0.0213494	4.89509e-05	-0.146605	3.76494	0.0545892	3.91059	-0.554536	36.2441
0.645538	0.035161	0.652805	0.0412549	0.0230333	5.31678e-05	0.092464	4.58652	0.255019	4.59267	0.802708	17.8629
0.682468	0.0456169	0.627973	0.038648	0.0234281	5.48205e-05	0.0252363	4.74586	-0.0496058	4.32561	4.75152	15.3411
0.645417	0.0361248	0.578576	0.0317118	0.0232266	6.63975e-05	-0.409967	4.41129	-0.0293233	4.06064	-4.34457	13.4352
0.478623	0.0244245	0.518846	0.0295862	0.0208262	4.62244e-05	-0.289888	3.26499	0.132475	3.57999	6.83997	13.0563
0.596977	0.0318694	0.551868	0.0312061	0.0211312	5.17901e-05	-0.137864	4.17752	0.0782142	3.86939	4.94271	11.8935
0.628146	0.0311015	0.655189	0.0360115	0.0213961	4.94143e-05	0.157375	4.42748	-0.0359129	4.64615	-4.16589	23.0546
0.613234	0.0320701	0.648488	0.0365077	0.0204052	5.12883e-05	-0.0614772	4.35734	0.202368	4.56937	2.934	18.3871
0.555757	0.0286868	0.548601	0.0325365	0.0198131	4.14463e-05	0.06023	3.86995	0.205155	3.7914	2.43885	43.7222
0.708681	0.0430903	0.708707	0.0403372	0.0206676	4.29014e-05	0.129665	4.93088	0.183696	4.87459	-2.9172	27.9786
0.583872	0.0361483	0.648788	0.0392601	0.0221277	4.3651e-05	-0.355927	3.9822	-0.157006	4.5375	2.96475	23.3285
0.578816	0.0295013	0.505681	0.0259963	0.0234663	5.53629e-05	-0.245035	4.01392	-0.113288	3.5084	-4.16842	43.0332
0.744917	0.0452409	0.768351	0.0443649	0.0218926	4.85083e-05	0.361436	5.11761	-0.122089	5.44712	2.3474	9.25712
0.626916	0.042247	0.685367	0.0428098	0.0216634	4.40473e-05	-0.0368205	4.37968	-0.224103	4.83268	-4.44246	8.56294
0.631828	0.0351013	0.611335	0.0362974	0.0221417	4.3733e-05	-0.0752812	4.48372	0.161751	4.32599	-1.98103	31.7587
0.667926	0.036929	0.706543	0.0446037	0.0215526	5.21246e-05	-0.056468	4.75241	-0.127163	4.97326	0.278124	23.4868
0.483795	0.0270321	0.496019	0.0236758	0.0216469	4.69123e-05	-0.187443	3.30318	0.267404	3.41797	7.54706	9.54459
0.7053	0.0420372	0.652458	0.0374769	0.0234922	5.36785e-05	0.0836134	4.96396	0.256343	4.55276	-1.74144	23.2611
0.533795	0.0288266	0.68139	0.0387467	0.0213361	4.04868e-05	0.207835	3.68537	-0.034413	4.8259	-0.636276	44.3626
0.602646	0.0339793	0.60054	0.031418	0.0211341	4.60896e-05	0.161638	4.25675	-0.270948	4.21399	4.66609	21.3781
0.465543	0.0240808	0.503965	0.026522	0.02271	5.46143e-05	-0.331744	3.11383	0.0920602	3.50386	8.09166	8.29118
0.553599	0.0310521	0.602817	0.0329409	0.0218269	4.5433e-05	0.310799	3.77781	-0.0811712	4.21308	4.56673	23.7973
0.450137	0.0212951	0.468539	0.0233687	0.0222023	4.95087e-05	-0.019001	3.13624	-0.103852	3.19334	-6.71905	21.169
0.547997	0.0274412	0.464308	0.0233535	0.0210543	4.77721e-05	0.274188	3.77105	-0.116075	3.20717	-6.58605	15.5699
0.54971	0.0266585	0.523001	0.027517	0.0232541	5.49853e-05	-0.0562988	3.80049	0.0655828	3.62954	-6.99451	10.7373
0.674592	0.0397764	0.702989	0.0409148	0.0226368	4.80637e-05	-0.307592	4.64206	-0.279505	4.87524	1.5957	27.412
0.614784	0.0296305	0.614633	0.0348585	0.0238387	7.65462e-05	-0.025771	4.34427	-0.0625454	4.29098	5.3798	15.0217
0.618759	0.0311504	0.511588	0.0274146	0.0231513	5.08339e-05	0.249411	4.33886	0.0993227	3.54576	-3.33757	33.558
0.641974	0.0401757	0.617134	0.0343845	0.0249417	6.76497e-05	-0.0432461	4.5526	-0.0915746	4.36306	0.35405	25.4504
0.570443	0.0328309	0.48719	0.0234342	0.0226696	5.93677e-05	0.0644552	4.00375	0.141675	3.44447	1.5107	58.5036
0.547908	0.0269032	0.567589	0.0314539	0.0203181	4.65039e-05	-0.194898	3.7898	-0.182203	3.94353	-6.687	6.02305
0.507705	0.0257738	0.538156	0.0258626	0.0207681	4.36272e-05	0.325942	3.43309	-0.0681107	3.79844	-6.87725	12.4247
0.555728	0.0324856	0.500814	0.0260342	0.019711	3.75216e-05	-0.185084	3.90137	-0.136652	3.46554	4.87106	20.1617
0.521492	0.0302425	0.567333	0.0281834	0.0246611	7.5697e-05	-0.110253	3.68982	0.261723	3.92603	-2.29912	36.1783
0.556552	0.0283035	0.641088	0.0319169	0.0202037	3.85279e-05	0.0611865	3.93919	0.292856	4.51194	-0.568324	39.2468
0.638984	0.0362225	0.585719	0.0359566	0.02431	5.77809e-05	-0.528013	4.27381	-0.0891284	4.14318	1.02192	22.024
0.538054	0.0336249	0.562347	0.0320072	0.0242988	5.52957e-05	0.147664	3.70094	0.0755568	3.88949	4.53952	33.4183
0.703804	0.0395639	0.648734	0.0339492	0.0214538	4.76886e-05	-0.0590839	4.98497	-0.25777	4.52377	2.02708	20.0922
0.53922	0.0294929	0.532458	0.0354336	0.020227	4.40604e-05	0.446464	3.58969	-0.199278	3.63283	-4.64237	28.5085
0.581957	0.0319816	0.653044	0.0377084	0.0228064	5.22675e-05	0.0890471	4.09177	0.120189	4.58097	-0.0133182	23.0535
0.660056	0.037782	0.588023	0.0340641	0.0213889	5.85669e-05	0.180769	4.61749	0.112527	4.08655	1.12722	25.5958
0.605043	0.0323365	0.633149	0.0337555	0.0212982	4.93467e-05	-0.138561	4.2916	-0.213964	4.48012	2.78234	17.8167
0.566702	0.0322598	0.672967	0.0396125	0.0212255	4.98089e-05	0.173979	3.91832	-0.0347869	4.74394	4.76653	17.9353
0.605823	0.0344896	0.623041	0.033547	0.0208024	4.21791e-05	0.136248	4.22378	0.0528772	4.39926	-3.14792	29.4919
0.589526	0.0299613	0.572792	0.0292584	0.0217467	4.64268e-05	0.27282	4.13124	-0.0483954	4.06938	-0.943218	39.578
0.532658	0.0330326	0.679695	0.0426393	0.0212096	4.05447e-05	0.230897	3.67775	0.224866	4.76204	-0.538896	37.6297
0.595892	0.0342767	0.497283	0.026134	0.022392	5.24893e-05	0.0105971	4.1183	-0.116697	3.42271	-7.76275	8.7525
0.667081	0.0412589	0.619684	0.0379092	0.0234662	5.18399e-05	0.00671558	4.67224	0.360107	4.22049	-0.0211965	40.4854
0.589245	0.0329705	0.631097	0.0331134	0.0240367	4.99932e-05	0.000497249	4.1144	-0.00696168	4.41808	5.83312	10.2506
0.542195	0.0283047	0.555985	0.0287837	0.0193309	3.39242e-05	-0.0423167	3.7656	0.197217	3.87985	-6.17469	13.9133
